Location Properties
Location Name = Smith Creek
Location ID = 78306c8f-8586-4d97-82f2-a00cd9e1807f
Latitude = 34.1415711 °
Longitude = -77.8678261 °

Report Properties
Start Time = 2024-02-21 12:51:36.670
Duration = 43.21:00:00
Readings = 1054
Time Offset = -04:00:00

Instrument Properties
Device Model = Aqua TROLL 200
Device SN = 1099450
Device Firmware = 2.01

Log Properties
Log Name = Smith Creek 23rd St
Log Type = Linear Average
Log File Number = 1
Log ID = 02852e65-3bf2-5857-8ab5-427fb147a90d
Interval = 01:00:00
Averaging Interval = 00:00:01
Sample Size = 5


Date Time,Pressure (psi) (1099450),Temperature (°C) (1099450),Depth (ft) (1099450),Specific Conductivity (µS/cm) (1099450),Salinity (PSU) (1099450)
2024-03-16 10:51:36.670,1.3275396,18.15858,3.0659778,466.52295,0.2522835
2024-03-16 11:51:36.670,1.7890285,18.242113,4.131808,496.34662,0.26888263
2024-03-16 12:51:36.670,2.3782153,18.256573,5.492476,533.6715,0.28976077
2024-03-16 13:51:36.670,2.7922661,18.223467,6.448626,554.4113,0.30141315
2024-03-16 14:51:36.670,2.9755955,18.242695,6.8720503,551.90283,0.29999477
2024-03-16 15:51:36.670,3.0605044,18.254702,7.0681953,540.3921,0.2935297
2024-03-16 16:51:36.670,2.986106,18.287275,6.8964167,540.20905,0.2934106
2024-03-16 17:51:36.670,2.656245,18.563755,6.1348906,553.2204,0.3005682
2024-03-16 18:51:36.670,2.2437084,18.75262,5.182329,531.63153,0.28836983
2024-03-16 19:51:36.670,1.8337425,18.827007,4.2355433,500.3208,0.27082765
2024-03-16 20:51:36.670,1.600518,18.824406,3.696869,484.62656,0.2620739
2024-03-16 21:51:36.670,1.5489588,18.808937,3.5777748,479.05927,0.25897834
2024-03-16 22:51:36.670,1.7749808,18.761038,4.0997796,491.01166,0.26566368
2024-03-16 23:51:36.670,2.172285,18.686665,5.017324,519.74835,0.2817519
2024-03-17 00:51:36.670,2.6146996,18.628344,6.0390406,542.64,0.29460046
2024-03-17 01:51:36.670,2.9237213,18.48583,6.75257,548.4488,0.29793113
2024-03-17 02:51:36.670,3.1382113,18.27408,7.247714,531.19275,0.28836292
2024-03-17 03:51:36.670,3.328617,18.04308,7.687332,468.08234,0.2532027
2024-03-17 04:51:36.670,3.4687152,17.804379,8.010813,385.87384,0.2076669
2024-03-17 05:51:36.670,3.44104,17.67148,7.9468966,329.17487,0.17646384
2024-03-17 06:51:36.670,3.194363,17.840906,7.377154,419.69717,0.22638345
2024-03-17 07:51:36.670,2.8407054,18.06893,6.560422,513.04285,0.27829903
2024-03-17 08:51:36.670,2.4542155,18.222189,5.6679726,529.07166,0.2872001
2024-03-17 09:51:36.670,2.0515041,18.270267,4.738005,507.01205,0.2748298
2024-03-17 10:51:36.670,1.7410915,18.309107,4.0211673,484.05713,0.26199144
2024-03-17 11:51:36.670,1.8643011,18.401407,4.3057957,488.6911,0.26453495
2024-03-17 12:51:36.670,2.2724814,18.64558,5.2487288,509.67938,0.2761418
2024-03-17 13:51:36.670,2.6684117,18.770498,6.163307,527.3275,0.28595144
2024-03-17 14:51:36.670,2.9079576,18.815355,6.7166505,527.7959,0.28619123
2024-03-17 15:51:36.670,3.0715053,18.71035,7.094298,515.1812,0.2791861
2024-03-17 16:51:36.670,3.1705537,18.691875,7.323124,490.16373,0.26522273
2024-03-17 17:51:36.670,3.1362035,18.674208,7.243796,478.57684,0.2587706
2024-03-17 18:51:36.670,2.8789544,18.883213,6.6497865,514.4518,0.27869418
2024-03-17 19:51:36.670,2.5005069,19.075596,5.7758436,525.10974,0.2845584
2024-03-17 20:51:36.670,2.1469865,19.19913,4.9594254,503.2972,0.27231154
2024-03-17 21:51:36.670,1.8623202,19.22131,4.3019085,487.9817,0.2637603
2024-03-17 22:51:36.670,1.708347,19.223644,3.9462514,478.94916,0.2587281
2024-03-17 23:51:36.670,1.7202327,19.191002,3.9736836,477.65887,0.25802466
2024-03-18 00:51:36.670,1.9859202,19.118954,4.5873175,493.15674,0.26669285
2024-03-18 01:51:36.670,2.4384086,19.037708,5.6323915,513.30457,0.27797776
2024-03-18 02:51:36.670,2.8415635,18.944286,6.5634756,522.74817,0.2833029
2024-03-18 03:51:36.670,3.068563,18.776945,7.087596,514.5086,0.27877766
2024-03-18 04:51:36.670,3.236196,18.554607,7.474547,488.6146,0.26442188
2024-03-18 05:51:36.670,3.314299,18.35336,7.6547117,467.9571,0.25299722
2024-03-18 06:51:36.670,3.2157598,18.336748,7.4271026,467.97226,0.25301287
2024-03-18 07:51:36.670,2.93537,18.490803,6.779628,497.97885,0.26967832
2024-03-18 08:51:36.670,2.5426984,18.641502,5.872827,515.055,0.27914897
2024-03-18 09:51:36.670,2.1338947,18.695358,4.9287114,496.54004,0.2687792
