%
% MSNB_S (34.090600 N -77.867900 E)
% The MSBN-S Station is located on the southern end of Masonboro Island, NC. The station is a 10' tower with its meteorological sensor positioned approximately 8.4 feet above the primary sand dune. The station samples continuously at 1 Hz and averages the data every 6 minutes. Data is transmitted every 30 minutes. The installation and maintenance of the station is funded, in part, by grants from the National Science Foundation and U.S. Coastal Research Program. This site/dataset was established on 07/01/2021. Please be cautious in the vicinity of the station and do not climb on the tower or guy wires.
%
% MSNB_S Wind speed (m/s) @ 0 m (height)
% MSNB_S Rain (day) (m) @ 0 m (height)
%
Time (utc),MSNB_S Wind speed (m/s),MSNB_S Wind speed (m/s) quality,MSNB_S Rain (day) (m),MSNB_S Rain (day) (m) quality
2024-04-07 05:30,1.72,good,0.00,not evaluated
2024-04-07 05:36,1.63,good,0.00,not evaluated
2024-04-07 05:42,1.75,good,0.00,not evaluated
2024-04-07 05:48,1.64,good,0.00,not evaluated
2024-04-07 05:54,1.51,good,0.00,not evaluated
2024-04-07 06:00,2.44,good,0.00,not evaluated
2024-04-07 06:06,3.82,good,0.00,not evaluated
2024-04-07 06:12,3.63,good,0.00,not evaluated
2024-04-07 06:18,3.15,good,0.00,not evaluated
2024-04-07 06:24,3.25,good,0.00,not evaluated
2024-04-07 06:30,3.35,good,0.00,not evaluated
2024-04-07 06:36,3.40,good,0.00,not evaluated
2024-04-07 06:42,2.84,good,0.00,not evaluated
2024-04-07 06:48,2.80,good,0.00,not evaluated
2024-04-07 06:54,2.57,good,0.00,not evaluated
2024-04-07 07:00,2.49,good,0.00,not evaluated
2024-04-07 07:06,2.98,good,0.00,not evaluated
2024-04-07 07:12,2.86,good,0.00,not evaluated
2024-04-07 07:18,2.72,good,0.00,not evaluated
2024-04-07 07:24,2.30,good,0.00,not evaluated
2024-04-07 07:30,2.18,good,0.00,not evaluated
2024-04-07 07:36,2.41,good,0.00,not evaluated
2024-04-07 07:42,2.08,good,0.00,not evaluated
2024-04-07 07:48,2.10,good,0.00,not evaluated
2024-04-07 07:54,2.45,good,0.00,not evaluated
2024-04-07 08:00,2.56,good,0.00,not evaluated
2024-04-07 08:06,2.51,good,0.00,not evaluated
2024-04-07 08:12,2.46,good,0.00,not evaluated
2024-04-07 08:18,2.67,good,0.00,not evaluated
2024-04-07 08:24,2.79,good,0.00,not evaluated
2024-04-07 08:30,2.87,good,0.00,not evaluated
2024-04-07 08:36,2.81,good,0.00,not evaluated
2024-04-07 08:42,2.55,good,0.00,not evaluated
2024-04-07 08:48,2.70,good,0.00,not evaluated
2024-04-07 08:54,2.64,good,0.00,not evaluated
2024-04-07 09:00,2.57,good,0.00,not evaluated
2024-04-07 09:06,2.58,good,0.00,not evaluated
2024-04-07 09:12,2.62,good,0.00,not evaluated
2024-04-07 09:18,2.78,good,0.00,not evaluated
2024-04-07 09:24,2.74,good,0.00,not evaluated
2024-04-07 09:30,2.60,good,0.00,not evaluated
2024-04-07 09:36,2.98,good,0.00,not evaluated
2024-04-07 09:42,3.02,good,0.00,not evaluated
2024-04-07 09:48,3.03,good,0.00,not evaluated
2024-04-07 09:54,3.10,good,0.00,not evaluated
2024-04-07 10:00,3.05,good,0.00,not evaluated
2024-04-07 10:06,3.44,good,0.00,not evaluated
2024-04-07 10:12,3.13,good,0.00,not evaluated
2024-04-07 10:18,3.28,good,0.00,not evaluated
2024-04-07 10:24,3.66,good,0.00,not evaluated
2024-04-07 10:30,3.01,good,0.00,not evaluated
2024-04-07 10:36,3.36,good,0.00,not evaluated
2024-04-07 10:42,3.75,good,0.00,not evaluated
2024-04-07 10:48,3.77,good,0.00,not evaluated
2024-04-07 10:54,3.68,good,0.00,not evaluated
2024-04-07 11:00,3.63,good,0.00,not evaluated
